City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hardoi,IN,82.74,clear sky,27.4167,80.1167,Hotel Rama Palace -Best Hotel /Best Restaurant in Hardoi
1,Adamstown,PN,62.42,light rain,-25.066,-130.1015,Down Alwyn's
3,Bel Ombre,SC,80.44,scattered clouds,-4.6167,55.4167,Coral Strand Smart Choice Hotel
4,Olyokminsk,RU,57.79,few clouds,60.3736,120.4264,"Gostinitsa ""Kolos"""
6,Enewetak,MH,83.59,overcast clouds,11.3474,162.3373,Enewetak Atoll
7,Altamont,US,67.78,haze,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
10,Badger,US,62.82,broken clouds,64.8,-147.5333,Fairbanks / Chena River KOA
11,Kodiak,US,56.71,scattered clouds,57.79,-152.4072,Best Western Kodiak Inn
12,Yellowknife,CA,78.42,smoke,62.456,-114.3525,The Explorer Hotel
15,Vilyuysk,RU,59.13,few clouds,63.7553,121.6247,Gostinitsa Viliuisk
16,Mugia,ES,71.17,overcast clouds,43.1041,-9.2179,Hotel O Parranda
18,Bredasdorp,ZA,65.16,clear sky,-34.5322,20.0403,Wheatlands Lodge - Bredasdorp
21,Tazacorte,ES,76.17,few clouds,28.629,-17.9293,Valle Aridane
22,Hermanus,ZA,68.7,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
23,Belyy Yar,RU,60.69,scattered clouds,53.6039,91.3903,Pasportnyy Stol
24,Tadine,NC,70.3,overcast clouds,-21.55,167.8833,Accueil en tribu chez Aude et Jean
25,Avarua,CK,71.65,few clouds,-21.2078,-159.775,Paradise Inn
26,La Ronge,CA,68.25,smoke,55.1001,-105.2842,Northland Motor Hotel
27,Mount Pearl,CA,72.45,broken clouds,47.5166,-52.7813,Ramada by Wyndham St. John's
30,Bandarbeyla,SO,78.4,overcast clouds,9.4942,50.8122,JABIR HOTEL
31,Caleta De Carquin,PE,71.74,clear sky,-11.0925,-77.6267,Hotel Villa Kitzia Huacho
32,Atafu Village,TK,82.54,broken clouds,-8.5421,-172.5159,Atafu Village
34,Tafuna,AS,78.75,broken clouds,-14.3358,-170.72,Tradewinds Hotel
35,Tobruk,LY,81.91,clear sky,32.0836,23.9764,عقار الحاج منفور علي.
36,College,US,62.8,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
37,Porto Torres,IT,71.78,scattered clouds,40.835,8.3972,Hotel Elisa
40,Nchelenge,ZM,76.21,overcast clouds,-9.3451,28.734,KD Travellers Home
42,Bonthe,SL,79.0,light rain,7.5264,-12.505,Bonthe Holiday Village
43,Stanley,GB,58.59,few clouds,54.868,-1.6985,Beamish Hall Hotel
47,Hawaiian Paradise Park,US,78.03,moderate rain,19.5933,-154.9731,Casa by the Sea
48,Qusmuryn,KZ,51.84,broken clouds,52.4503,64.6311,Депоның қонақ үйі
50,Chirala,IN,83.14,few clouds,15.8167,80.35,Bala Residency
56,Bethel,US,79.77,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
57,Tiksi,RU,50.58,overcast clouds,71.6872,128.8694,Arktika
58,Portland,US,71.53,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
59,El Granada,US,84.92,haze,37.5027,-122.4694,Beach House Hotel
62,Susuman,RU,51.8,broken clouds,62.7833,148.1667,Susumanzoloto
63,Necochea,AR,60.82,few clouds,-38.5473,-58.7368,Hotel Tres Arroyos
64,Antonio Enes,MZ,72.66,few clouds,-16.2325,39.9086,Guest House HESADA
66,Port Mathurin,MU,72.88,clear sky,-19.6833,63.4167,Ti Pavillon
67,Hasaki,JP,77.31,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
69,Yuzhno-Kurilsk,RU,58.69,scattered clouds,44.0306,145.8556,Guesthouse Berloga
71,Hithadhoo,MV,81.37,broken clouds,-0.6,73.0833,Scoop Guest House
72,Jamestown,US,82.02,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
74,Saint-Denis,FR,66.51,light rain,48.9167,2.3333,ibis budget Paris Porte de Montmartre
75,Port Elizabeth,ZA,61.09,clear sky,-33.918,25.5701,39 On Nile Guest House
