City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Zhukovka,RU,23-08-28 14:47:48,53.534,33.728,78.35,61,100,4.23,overcast clouds
1,Talara,PE,23-08-28 14:47:48,-4.5772,-81.2719,75.96,69,0,12.41,clear sky
2,Kondalwadi,IN,23-08-28 14:47:49,18.8,77.7667,75.99,80,31,5.97,scattered clouds
3,Ribeira Grande,PT,23-08-28 14:47:49,38.5167,-28.7,74.77,88,75,16.11,light rain
4,Waitangi,NZ,23-08-28 14:47:49,-43.9535,-176.5597,45.82,82,43,5.01,scattered clouds
5,Ketchikan,US,23-08-28 14:47:49,55.3422,-131.6461,55.87,94,0,0.0,clear sky
6,Thinadhoo,MV,23-08-28 14:47:50,0.5333,72.9333,83.14,74,19,9.37,few clouds
7,Necochea,AR,23-08-28 14:47:18,-38.5473,-58.7368,51.58,52,82,20.89,broken clouds
8,Berberati,CF,23-08-28 14:47:50,4.2612,15.7922,83.59,66,100,4.97,light rain
9,Doctor Alberto Oviedo Mota,MX,23-08-28 14:46:40,32.2275,-115.1697,89.73,17,0,10.22,clear sky
10,Edinburgh Of The Seven Seas,SH,23-08-28 14:47:51,-37.0676,-12.3116,52.99,72,32,14.43,light rain
11,Bethel,US,23-08-28 14:47:51,41.3712,-73.414,77.2,74,100,4.61,overcast clouds
12,Bredasdorp,ZA,23-08-28 14:47:51,-34.5322,20.0403,65.82,66,0,9.01,clear sky
13,Luau,AO,23-08-28 14:47:52,-10.7073,22.2247,92.35,10,0,11.3,clear sky
14,Geraldton,AU,23-08-28 14:47:52,-28.7667,114.6,57.61,88,0,5.75,clear sky
15,Chibougamau,CA,23-08-28 14:43:21,49.9168,-74.3659,64.02,52,0,8.05,clear sky
16,Adamstown,PN,23-08-28 14:47:53,-25.066,-130.1015,69.64,88,100,23.0,overcast clouds
17,Bilibino,RU,23-08-28 14:47:53,68.0546,166.4372,44.55,89,100,2.17,overcast clouds
18,Mar Del Plata,AR,23-08-28 14:47:53,-38.0023,-57.5575,51.94,63,0,17.0,clear sky
19,Tafuna,AS,23-08-28 14:47:54,-14.3358,-170.72,78.75,83,75,19.57,broken clouds
20,Tiksi,RU,23-08-28 14:47:54,71.6872,128.8694,43.92,87,87,6.17,overcast clouds
21,Brookings,US,23-08-28 14:44:05,44.3114,-96.7984,70.14,82,0,0.0,clear sky
22,Port Saint John'S,ZA,23-08-28 14:47:54,-31.6229,29.5448,69.31,63,0,15.82,clear sky
23,Lebu,CL,23-08-28 14:47:55,-37.6167,-73.65,49.23,92,100,11.01,overcast clouds
24,Namibe,AO,23-08-28 14:47:55,-15.1961,12.1522,66.85,78,24,13.24,few clouds
25,Jose Maria Morelos,MX,23-08-28 14:47:56,23.3952,-103.8984,63.39,73,29,4.29,scattered clouds
26,Hadibu,YE,23-08-28 14:47:56,12.65,54.0333,81.55,74,5,18.32,clear sky
27,Pemangkat,ID,23-08-28 14:47:56,1.1667,108.9667,80.58,80,69,10.56,broken clouds
28,Vila Do Maio,CV,23-08-28 14:47:56,15.1333,-23.2167,86.79,80,50,16.31,scattered clouds
29,Port-Aux-Francais,TF,23-08-28 14:47:57,-49.35,70.2167,38.98,89,100,46.28,overcast clouds
30,Cadale,SO,23-08-28 14:47:57,2.7603,46.3222,78.67,79,99,18.52,overcast clouds
31,Qaqortoq,GL,23-08-28 14:47:57,60.7167,-46.0333,51.78,45,26,7.02,scattered clouds
32,Mizdah,LY,23-08-28 14:47:57,31.4451,12.9801,103.05,12,0,20.71,clear sky
33,Kapa'A,US,23-08-28 14:47:58,22.0752,-159.319,80.92,84,75,13.8,light rain
34,Kupang,ID,23-08-28 14:47:58,-10.1667,123.5833,75.79,79,83,11.61,broken clouds
